Time, Residential Load (MW), Commercial Load (MW), Net Change (MW)
0:30, 152.1, -61.9, 90.2
1:00, 142.0, -23.7, 118.3
1:30, 135.4, -16.6, 118.8
2:00, 126.8, -16.8, 110.0
2:30, 109.8, -7.2, 102.6
3:00, 96.6, -10.6, 86.0
3:30, 89.0, -19.2, 69.8
4:00, 79.9, -29.0, 50.8
4:30, 69.4, -32.8, 36.7
5:00, 64.7, -38.6, 26.1
5:30, 51.7, -32.4, 19.2
6:00, 28.3, -42.9, -14.6
6:30, -5.6, -50.6, -56.2
7:00, -33.1, -80.2, -113.3
7:30, -2.5, -164.9, -167.5
8:00, 74.9, -259.7, -184.8
8:30, 201.1, -337.4, -136.2
9:00, 309.2, -355.5, -46.3
9:30, 354.2, -333.9, 20.2
10:00, 356.7, -358.6, -1.9
10:30, 361.1, -420.9, -59.7
11:00, 356.6, -451.4, -94.8
11:30, 350.8, -475.3, -124.5
12:00, 357.7, -512.5, -154.8
12:30, 389.6, -561.4, -171.8
13:00, 410.5, -563.7, -153.2
13:30, 405.7, -538.4, -132.7
14:00, 405.4, -537.7, -132.3
14:30, 391.9, -542.1, -150.2
15:00, 365.9, -531.5, -165.5
15:30, 353.2, -525.3, -172.1
16:00, 337.5, -487.9, -150.3
16:30, 330.7, -482.9, -152.2
17:00, 351.8, -486.9, -135.2
17:30, 405.9, -481.9, -76.0
18:00, 463.8, -467.3, -3.4
18:30, 474.5, -406.2, 68.3
19:00, 434.4, -331.5, 103.0
19:30, 384.4, -300.3, 84.0
20:00, 343.2, -294.1, 49.1
20:30, 309.1, -280.8, 28.3
21:00, 280.4, -266.2, 14.2
21:30, 255.6, -239.1, 16.5
22:00, 232.1, -209.3, 22.8
22:30, 208.2, -174.8, 33.4
23:00, 189.4, -149.9, 39.4
23:30, 170.5, -121.1, 49.4
0:00, 174.2, -125.6, 48.6
